id,keyword,intent,priority,page_type,target_page,last_modified,source
1,s9 game online Pakistan,core,P1,homepage/pillar,/,2026-06-28,sop-full-audit
2,s9 game alternative,core,P1,homepage/pillar,/,2026-06-28,sop-full-audit
3,s9game com pk comparison,long-tail,P1,supporting article,/blog/,2026-06-28,sop-full-audit
4,s9game cc vs s9 game,long-tail,P1,supporting article,/blog/,2026-06-28,sop-full-audit
5,s9 vs super s9 game,long-tail,P1,supporting article,/blog/,2026-06-28,sop-full-audit
6,s9 Pakistan,brand,P1,homepage,/,2026-06-28,sop-full-audit
7,s9 game Pakistan,brand,P1,homepage,/,2026-06-28,sop-full-audit
8,S9 Online Compare Desk support,brand,P2,support,/support/,2026-06-28,sop-full-audit
9,S9 Online Compare Desk FAQ,brand,P2,faq,/faq/,2026-06-28,sop-full-audit
10,s9 online comparison Pakistan,category,P1,hub/category,/online-comparison/,2026-06-28,sop-full-audit
11,s9 alternative Pakistan,category,P1,hub/category,/alternative/,2026-06-28,sop-full-audit
12,s9 feature comparison Pakistan,category,P1,hub/category,/feature-comparison/,2026-06-28,sop-full-audit
13,s9 payment comparison Pakistan,category,P1,hub/category,/payment-comparison/,2026-06-28,sop-full-audit
14,s9 support comparison Pakistan,category,P1,hub/category,/support-comparison/,2026-06-28,sop-full-audit
15,what is s9 game alternative in Pakistan,question,P1,faq/article,/faq/,2026-06-28,sop-full-audit
16,how to compare s9 game online sites,question,P1,faq/article,/faq/,2026-06-28,sop-full-audit
17,is s9game com pk same as s9 game,question,P1,faq/article,/faq/,2026-06-28,sop-full-audit
18,how to compare s9 support pages,question,P1,faq/article,/faq/,2026-06-28,sop-full-audit
19,which thin download pages fail to rank,question,P1,faq/article,/faq/,2026-06-28,sop-full-audit
20,s9 vs b9 game,comparison,P2,comparison/article,/blog/,2026-06-28,sop-full-audit
21,s9 game online Pakistan Pakistan,regional/local,P2,article,/blog/,2026-06-28,sop-full-audit
22,s9 game online Pakistan PK,regional/local,P2,article,/blog/,2026-06-28,sop-full-audit
23,s9 game online Pakistan Android,regional/local,P2,article,/blog/,2026-06-28,sop-full-audit
24,s9 game online Pakistan mobile,regional/local,P2,article,/blog/,2026-06-28,sop-full-audit
25,s9 game online Pakistan H5,regional/local,P2,article,/blog/,2026-06-28,sop-full-audit
